Fold,准确率,精确率,召回率,F1 值,AUC值
1,0.9994,0.9982049735468644,0.993106893106893,0.9956282165106691,0.9998424758522124
2,0.9999,0.9999265623852538,0.9985569985569985,0.9992370526416872,0.9999984842421816
3,0.9998,0.9999023628197617,0.9971139971139971,0.9984891716470664,0.9999999206793402
4,0.9998,0.9984835609422523,0.9976310726310726,0.9980553675646866,0.9999954906204906
5,0.9996,0.9983373057447237,0.9947450697450697,0.9965204916356285,0.9999922463008143
